id,n_atoms,hybr,n_rings,counted_rings,counted_atoms,sp,sp2,sp3,ma
C06333,"Dict{Symbol, Any}(:N => 1, :H => 7, :S => 1, :O => 3, :C => 6)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",1,11,0,9,2,8
C10452,"Dict{Symbol, Any}(:H => 12, :O => 1, :C => 10)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,9,2,7
C06558,"Dict{Symbol, Any}(:N => 4, :H => 8, :O => 2, :C => 5)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,9,2,7
C00337,"Dict{Symbol, Any}(:N => 2, :H => 6, :O => 4, :C => 5)","[""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,11,0,9,2,8
C17931,"Dict{Symbol, Any}(:N => 4, :H => 10, :S => 1, :C => 6)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,11,0,9,2,9
C01984,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",1,11,0,9,2,7
C06335,"Dict{Symbol, Any}(:N => 1, :H => 7, :S => 1, :O => 3, :C => 6)","[""sp3"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",1,11,0,9,2,8
C07454,"Dict{Symbol, Any}(:N => 5, :H => 11, :C => 6)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",1,11,0,9,2,8
C07728,"Dict{Symbol, Any}(:H => 8, :O => 2, :C => 9)","[""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0]",2,11,0,9,2,7
C03114,"Dict{Symbol, Any}(:N => 2, :H => 10, :C => 9)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3""]","[1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 0]",2,11,0,9,2,8
