cpd	ma
C16212	8
C21475	6
C14315	6
C22416	11
C04642	8
C04434	7
C12204	9
C16402	7
C21570	8
C16394	7
C16395	7
C04604	9
C01494	9
C16414	8
C04045	9
C02172	9
C18079	8
C01752	8
C05635	10
C09209	9
C21889	10
C01036	7
C01061	7
C06675	9
C16199	11
C10833	9
C16366	8
C05598	10
C19631	11
C12248	8
C21109	8
C14701	7
C20465	8
C16596	11
C16587	11
C16360	8
C16202	9
C16356	8
C14105	7
C01693	10
C06711	7
C22202	10
C16201	9
C05604	10
C06204	9
C20581	7
C20961	9
C05533	6
C20966	8
C01990	7
C22038	9
C00355	10
C03360	11
C00822	9
C16151	11
C06646	9
C05584	9
C12205	8
C06580	9
C12459	8
C19564	11
C01300	11
C06661	10
C14802	10
C07481	9
C14800	10
C18241	7
C18243	7
C02515	10
C18313	8
C06589	8
C16362	7
C16586	10
C06318	7
C04783	7
C16595	11
C18314	8
C06676	10
C03004	10
C07100	9
C06212	9
C05659	10
C04593	6
C02225	6
C05662	6
C01251	6
C07448	10
C11800	10
C01297	11
C06552	8
C19581	11
C19715	11
C10733	11
C06662	10
C09089	8
C06660	11
C06114	9
C05588	9
C01267	13
C06551	8
C12673	11
C16696	10
C04556	11
C05575	11
C14104	7
C21613	9
C17952	11
C15651	12
C03955	9
C03287	9
C03149	12
C06579	9
C20384	10
C21086	9
C10763	9
C17214	8
C00879	6
C00491	7
C02571	8
C02291	8
C17215	8
C11536	11
C00818	6
C05699	8
C01100	12
C06658	9
C21197	9
C06659	9
C20789	9
C02954	9
C17228	8
C15650	11
C21202	8
C20941	9
C21087	9
C00235	9
C20847	9
C01107	9
C00129	9
C03872	8
C18911	9
C03291	9
C01259	9
C22337	9
C01112	8
C02679	7
C17229	8
C01101	9
C05944	8
C00999	8
C00231	9
C00199	9
C06185	9
C12448	10
C20940	9
C01068	8
C01065	8
C00620	9
C03906	9
C03737	9
C03090	9
C07047	9
C07888	10
C16183	9
C00117	9
C06441	9
C00750	5
C02076	6
C22449	10
C04366	6
C12624	7
C20772	9
C03569	7
C08061	7
C11432	7
C21306	11
C00841	10
C11430	7
C14093	9
C03657	9
C07723	8
C21477	9
C00758	9
C16211	8
C17018	9
C02470	10
C22039	9
C05663	10
C04186	8
C18345	8
C21358	5
C14086	9
C18338	9
C05619	9
C06586	8
C16392	7
C05835	11
C14298	6
C16393	7
C16624	12
C01252	10
C10660	10
C12469	8
C07724	8
C21124	11
C00331	10
C07717	7
C09265	9
C19180	10
C20856	8
C04479	9
C04052	7
C16591	11
C05610	9
C05596	11
C05654	11
C08538	9
C16420	9
C05660	11
C20239	10
C09311	8
C12458	8
C07499	9
C21450	9
C14916	10
C05620	11
C00328	10
C09816	9
C03519	11
C05647	11
C22570	10
C11431	8
C04083	10
C14085	9
C00078	11
C06986	9
C22006	10
C11429	8
C16361	8
C04690	9
C04115	7
C20582	7
C16453	12
C02325	8
C16452	12
C14801	10
C14092	9
C15532	10
C01060	11
C06585	9
C15503	11
C02061	7
C15986	12
C16682	8
C07721	8
C08312	10
C16597	7
C01118	7
C16583	7
C11711	9
C06546	9
C07642	7
C14168	11
C16561	9
C19574	12
C05570	12
C12231	10
C09666	6
C09665	6
C15700	8
C07056	10
C21198	9
C07207	13
C07065	13
C07474	12
C16842	11
C16311	8
C16309	8
C17242	10
C16317	8
C08491	8
C01909	9
C17699	10
C00864	9
C17218	9
C05341	9
C15699	8
C04020	8
C17219	9
C16814	5
C16141	5
C19749	6
C04666	12
C04673	10
C16142	7
C16829	7
C19747	7
C11772	11
C09672	5
C09684	7
C16775	6
C11844	9
C19748	5
C20817	10
C20790	9
C21203	10
C00236	8
C18206	8
C01159	8
C17232	9
C16848	9
C11811	9
C03366	11
C01298	9
C07644	11
C19752	6
C04280	9
C01860	6
C16554	10
C06394	7
C17277	6
C02004	6
C19742	7
C20478	6
C22617	6
C20163	6
C09629	6
C09723	6
C12142	6
C19973	6
C19908	6
C19708	6
C19753	7
C02002	6
C20159	6
C01099	10
C17233	9
C04582	11
C16556	10
C22359	11
C07645	11
C01131	10
C01132	9
C00645	9
C00140	9
C16640	6
C19740	5
C01841	5
