first,second
rn:R00351,"Dict{String, Any}(""MA_IN"" => Any[6, 32], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00024"", ""RC00067:C00036_C00158""], ""ENZYME"" => 2, ""MA_OUT"" => Any[37, 4], ""OUT"" => [""C00024"", ""C00001"", ""C00036""], ""IN"" => [""C00158"", ""C00010""], ""MEAN_MA"" => 19.75, ""DIFF"" => 3, ""EQUATION"" => ""C00158 + C00010 <=> C00024 + C00001 + C00036"", ""RCLASS"" => Any[""RC00004"", ""RC00067""])"
rn:R00465,"Dict{String, Any}(""MA_IN"" => Any[3, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00042:C00048_C00160""], ""ENZYME"" => 1, ""MA_OUT"" => Any[3, 31], ""OUT"" => [""C00048"", ""C00005"", ""C00080""], ""IN"" => [""C00160"", ""C00006""], ""MEAN_MA"" => 17.5, ""DIFF"" => -2, ""EQUATION"" => ""C00160 + C00006 <=> C00048 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00042""])"
rn:R02546,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00695:C00552_C00898""], ""ENZYME"" => 5, ""MA_OUT"" => Any[5], ""OUT"" => [""C00552""], ""IN"" => [""C00898""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C00898 <=> C00552"", ""RCLASS"" => Any[""RC00695""])"
rn:R02765,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00780:C00683_C01213""], ""ENZYME"" => 5, ""MA_OUT"" => Any[40], ""OUT"" => [""C00683""], ""IN"" => [""C01213""], ""MEAN_MA"" => 39.5, ""DIFF"" => 1, ""EQUATION"" => ""C01213 <=> C00683"", ""RCLASS"" => Any[""RC00780""])"
rn:R00944,"Dict{String, Any}(""MA_IN"" => Any[22], ""MAIN_PAIRS"" => Any[""RC00026:C00101_C00234"", ""RC00111:C00058_C00234""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 19], ""OUT"" => [""C00058"", ""C00101""], ""IN"" => [""C00234"", ""C00001""], ""MEAN_MA"" => 16.0, ""DIFF"" => -2, ""EQUATION"" => ""C00234 + C00001 <=> C00058 + C00101"", ""RCLASS"" => Any[""RC00026"", ""RC00111""])"
rn:R00262,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC01221:C00025_C03618""], ""ENZYME"" => 5, ""MA_OUT"" => Any[5], ""OUT"" => [""C00025""], ""IN"" => [""C03618""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C03618 <=> C00025"", ""RCLASS"" => Any[""RC01221""])"
rn:R00373,"Dict{String, Any}(""MA_IN"" => Any[3, 4], ""MAIN_PAIRS"" => Any[""RC00006:C00036_C00049"", ""RC00018:C00037_C00048""], ""ENZYME"" => 2, ""MA_OUT"" => Any[3, 5], ""OUT"" => [""C00048"", ""C00049""], ""IN"" => [""C00037"", ""C00036""], ""MEAN_MA"" => 3.75, ""DIFF"" => 1, ""EQUATION"" => ""C00037 + C00036 <=> C00048 + C00049"", ""RCLASS"" => Any[""RC00006"", ""RC00018""])"
rn:R00588,"Dict{String, Any}(""MA_IN"" => Any[4, 3], ""MAIN_PAIRS"" => Any[""RC00006:C00065_C00168"", ""RC00018:C00037_C00048""], ""ENZYME"" => 2, ""MA_OUT"" => Any[4, 3], ""OUT"" => [""C00168"", ""C00037""], ""IN"" => [""C00065"", ""C00048""], ""MEAN_MA"" => 3.5, ""DIFF"" => 0, ""EQUATION"" => ""C00065 + C00048 <=> C00168 + C00037"", ""RCLASS"" => Any[""RC00006"", ""RC00018""])"
rn:R01392,"Dict{String, Any}(""MA_IN"" => Any[4, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00031:C00168_C00258""], ""ENZYME"" => 1, ""MA_OUT"" => Any[4, 31], ""OUT"" => [""C00168"", ""C00005"", ""C00080""], ""IN"" => [""C00258"", ""C00006""], ""MEAN_MA"" => 18.0, ""DIFF"" => -2, ""EQUATION"" => ""C00258 + C00006 <=> C00168 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00031""])"
rn:R03696,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00979:C01732_C03618""], ""ENZYME"" => 4, ""MA_OUT"" => Any[5], ""OUT"" => [""C01732"", ""C00014""], ""IN"" => [""C03618""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C03618 <=> C01732 + C00014"", ""RCLASS"" => Any[""RC00979""])"
